#
# Output is generated by GenSAS 7.x-5.0
#
#Name     : The name of mRNA
#Start    : Start of alignment in subject
#End      : End of alignment in subject
#Match_Start  : Start of alignment in query
#Match_End    : End of alignment in query
#Score        : Row score of the match
#E-value      : E value of the match
#Identity     : Percentage of identical matches
#AL           : Alignment length
Name	Start	End	Score	Accession	Match_ID	Match_Start	Match_End	E-value	Identity	AL
M_mag.00g001560.m01	259	437	468	XP_042214086.1	XP_042214086.1	1	177	1.66e-54	55.307	179
M_mag.00g001590.m01	98	329	1188	XP_042214029.1	XP_042214029.1	1	232	5.17e-154	96.983	232
M_mag.00g001600.m01	424	1017	2803	XP_042214025.1	XP_042214025.1	1	594	0.0	97.138	594
M_mag.00g001620.m01	82	197	371	XP_027237714.1	XP_027237714.1	1	120	1.05e-43	75.833	120
M_mag.00g001650.m01	88	173	348	XP_037783527.1	XP_037783527.1	15	101	3.84e-40	87.356	87
M_mag.00g001670.m01	1	44	194	XP_027207225.1	XP_027207225.1	1	44	2.40e-17	75.000	44
M_mag.00g001690.m01	110	181	360	XP_027207224.1	XP_027207224.1	1	72	4.76e-43	88.889	72
M_mag.00g001730.m01	579	641	153	XP_042220438.1	XP_042220438.1	1	62	2.04e-11	68.254	63
M_mag.00g001740.m01	122	320	457	XP_042214078.1	XP_042214078.1	1	206	8.00e-52	68.932	206
M_mag.00g001780.m01	57	109	157	XP_037788592.1	XP_037788592.1	1	53	1.67e-12	52.830	53
M_mag.00g001810.m01	237	265	141	XP_042213991.1	XP_042213991.1	1	29	2.09e-10	93.103	29
M_mag.00g001830.m01	113	168	277	XP_042214037.1	XP_042214037.1	1	56	4.91e-29	91.071	56
M_mag.00g001840.m01	193	243	222	XP_027216356.1	XP_027216356.1	1	51	1.07e-21	76.471	51
M_mag.00g001860.m01	1	116	391	XP_042220479.1	XP_042220479.1	1	117	8.57e-46	63.559	118
M_mag.00g001870.m01	213	614	1044	XP_027215765.1	XP_027215765.1	1	403	1.40e-129	59.338	423
M_mag.00g001900.m01	592	656	165	XP_042206071.1	XP_042206071.1	5	67	1.87e-12	55.385	65
M_mag.00g001910.m01	91	248	627	XP_042203339.1	XP_042203339.1	1	158	4.23e-81	74.684	158
M_mag.00g001930.m01	1	975	4774	XP_042206074.1	XP_042206074.1	1	975	0.0	93.128	975
M_mag.00g001940.m01	390	959	1923	XP_042220476.1	XP_042220476.1	1	504	0.0	68.772	570
M_mag.00g001950.m01	261	602	1157	XP_042220468.1	XP_042220468.1	258	600	2.08e-149	80.229	349
M_mag.00g002000.m01	1	126	683	XP_027227795.1	XP_027227795.1	1	126	9.18e-90	99.206	126
M_mag.00g002010.m01	141	329	365	XP_042878208.1	XP_042878208.1	1	195	1.53e-36	38.384	198
M_mag.00g002030.m01	172	442	1257	XP_042220474.1	XP_042220474.1	3	272	4.76e-172	90.406	271
M_mag.00g002040.m01	671	979	686	XP_042220449.1	XP_042220449.1	1	301	2.63e-80	42.765	311
M_mag.00g002060.m01	151	340	782	XP_042226231.1	XP_042226231.1	1	188	1.37e-102	80.526	190
M_mag.00g002070.m01	137	202	180	XP_042231320.1	XP_042231320.1	1	66	8.42e-16	51.515	66
M_mag.00g002080.m01	454	1028	2240	XP_042240856.1	XP_042240856.1	17	602	0.0	80.068	587
M_mag.00g002120.m01	68	145	264	XP_042226718.1	XP_042226718.1	38	112	5.18e-28	71.795	78
M_mag.00g002140.m01	13	113	436	XP_042214099.1	XP_042214099.1	24	123	1.37e-52	78.218	101
M_mag.00g002150.m01	36	153	439	XP_027207647.1	XP_027207647.1	1	118	1.27e-54	71.186	118
M_mag.00g002160.m01	158	274	446	XP_042220503.1	XP_042220503.1	1	130	3.44e-52	70.073	137
M_mag.00g002170.m01	377	647	634	XP_042213355.1	XP_042213355.1	1	294	6.45e-74	48.986	296
M_mag.00g002190.m01	1	274	1283	XP_027237092.1	XP_027237092.1	1	268	1.44e-166	81.752	274
M_mag.00g002200.m01	3386	4336	1178	XP_042214108.1	XP_042214108.1	2042	3003	1.67e-126	58.451	994
M_mag.00g002210.m01	164	284	466	XP_037788545.1	XP_037788545.1	35	156	6.86e-52	82.787	122
M_mag.00g002220.m01	1	352	1300	XP_042218650.1	XP_042218650.1	1	353	7.92e-173	76.204	353
M_mag.00g002230.m01	345	505	685	XP_022345754.1	XP_022345754.1	2	159	6.02e-86	78.882	161
M_mag.00g002280.m01	1410	1474	319	XP_037785554.1	XP_037785554.1	1	65	9.89e-34	84.615	65
M_mag.00g002290.m01	1271	1418	462	XP_042213944.1	XP_042213944.1	1	148	1.46e-51	58.784	148
M_mag.00g002330.m01	17	162	353	XP_042868590.1	XP_042868590.1	49	196	2.12e-38	53.333	150
M_mag.00g002380.m01	335	429	353	XP_042214022.1	XP_042214022.1	1	95	1.81e-38	78.947	95
M_mag.00g002390.m01	68	201	619	XP_042883781.1	XP_042883781.1	1	134	2.96e-76	84.328	134
M_mag.00g002400.m01	25	66	189	XP_027209010.1	XP_027209010.1	1	42	1.04e-16	85.714	42
M_mag.00g002440.m01	808	911	340	XP_037787955.1	XP_037787955.1	3	105	8.36e-36	70.192	104
M_mag.00g002450.m01	5	303	376	XP_031628636.1	XP_031628636.1	21	311	2.59e-40	36.093	302
M_mag.00g002520.m01	1	1126	2256	XP_042240848.1	XP_042240848.1	1	1071	0.0	60.121	1161
M_mag.00g002570.m01	309	362	254	XP_042870292.1	XP_042870292.1	1	54	3.62e-25	94.444	54
M_mag.00g002620.m01	337	375	135	XP_042214034.1	XP_042214034.1	1	39	2.19e-09	64.103	39
M_mag.00g002640.m01	6	349	1441	XP_042892234.1	XP_042892234.1	1	342	0.0	90.407	344
M_mag.00g002650.m01	1	60	210	XP_027207093.1	XP_027207093.1	1	60	1.43e-21	86.667	60
M_mag.00g002660.m01	580	890	359	XP_006825930.1	XP_006825930.1	2	312	5.97e-35	30.000	320
M_mag.00g002670.m01	627	819	382	XP_042214041.1	XP_042214041.1	91	259	7.88e-39	49.485	194
M_mag.00g002760.m01	35	108	338	XP_027217102.1	XP_027217102.1	1	74	1.04e-39	77.027	74
M_mag.00g002780.m01	693	771	364	XP_042873688.1	XP_042873688.1	1	79	1.38e-39	86.076	79
M_mag.00g002790.m01	109	223	611	XP_027217105.1	XP_027217105.1	1	115	8.56e-78	98.261	115
M_mag.00g002890.m01	1	162	720	XP_042873688.1	XP_042873688.1	1	158	1.01e-88	84.568	162
M_mag.00g002900.m01	97	475	1481	XP_042231165.1	XP_042231165.1	1	379	0.0	84.433	379
M_mag.00g002910.m01	37	272	687	XP_042231170.1	XP_042231170.1	1	232	8.28e-84	63.291	237
M_mag.00g002940.m01	74	203	310	XP_042223340.1	XP_042223340.1	1	130	1.97e-31	52.308	130
M_mag.00g002950.m01	31	142	396	XP_027238078.1	XP_027238078.1	26	137	9.99e-44	77.679	112
M_mag.00g002960.m01	18	532	1326	XP_037804877.1	XP_037804877.1	114	678	6.54e-170	46.479	568
M_mag.00g002970.m01	171	385	921	XP_042223347.1	XP_042223347.1	1	216	5.13e-120	83.796	216
M_mag.00g002990.m01	588	830	227	XP_042231201.1	XP_042231201.1	37	319	2.72e-17	33.564	289
M_mag.00g003110.m01	640	803	256	XP_042862015.1	XP_042862015.1	93	258	1.09e-21	39.645	169
M_mag.00g003150.m01	37	75	213	XP_042217939.1	XP_042217939.1	46	84	5.50e-19	89.744	39
M_mag.00g003170.m01	122	159	187	XP_042231146.1	XP_042231146.1	1	38	2.98e-17	86.842	38
M_mag.00g003200.m01	504	744	221	XP_006812275.1	XP_006812275.1	89	329	3.04e-16	20.747	241
M_mag.00g003240.m01	46	99	290	XP_027209130.1	XP_027209130.1	1	54	2.79e-31	98.148	54
M_mag.00g003260.m01	254	551	585	XP_042235960.1	XP_042235960.1	94	395	1.26e-67	59.554	314
M_mag.00g003330.m01	51	132	201	XP_011501847.1	XP_011501847.1	3	140	3.94e-17	50.725	138
M_mag.00g003350.m01	743	775	147	XP_018020886.1	XP_018020886.1	1	33	4.21e-11	78.788	33
M_mag.00g003380.m01	185	242	281	XP_037789326.1	XP_037789326.1	1	58	8.39e-29	82.759	58
M_mag.00g003400.m01	851	904	214	XP_042223308.1	XP_042223308.1	1	53	7.90e-20	75.926	54
M_mag.00g003410.m01	160	285	284	XP_042223311.1	XP_042223311.1	55	153	3.44e-27	50.000	126
M_mag.00g003430.m01	1	775	3546	XP_042215438.1	XP_042215438.1	1	775	0.0	84.258	775
M_mag.00g003450.m01	59	98	133	XP_042215434.1	XP_042215434.1	1	42	3.73e-09	71.429	42
M_mag.00g003460.m01	51	126	262	XP_042215431.1	XP_042215431.1	1	74	5.79e-26	75.000	76
M_mag.00g003470.m01	61	116	271	XP_042878130.1	XP_042878130.1	1	56	1.92e-27	91.071	56
M_mag.00g003490.m01	463	522	308	XP_042215426.1	XP_042215426.1	1	60	2.41e-32	93.333	60
M_mag.00g003500.m01	466	509	213	XP_027233114.1	XP_027233114.1	1	44	8.99e-20	88.636	44
M_mag.00g003550.m01	437	563	435	XP_042242318.1	XP_042242318.1	15	141	4.69e-48	70.866	127
M_mag.00g003560.m01	40	182	453	XP_027219415.1	XP_027219415.1	120	265	1.25e-53	54.795	146
M_mag.00g003590.m01	144	187	133	XP_042858462.1	XP_042858462.1	1	44	2.59e-09	54.545	44
M_mag.00g003600.m01	22	79	203	XP_042242447.1	XP_042242447.1	28	85	5.36e-18	62.069	58
M_mag.00g003650.m01	351	762	1361	XP_042242363.1	XP_042242363.1	28	415	3.00e-176	61.743	413
M_mag.00g003720.m01	50	120	353	XP_027231074.1	XP_027231074.1	1	71	1.77e-38	94.366	71
M_mag.00g003750.m01	371	560	606	XP_042242363.1	XP_042242363.1	2	174	1.14e-70	59.686	191
M_mag.00g003760.m01	717	763	202	XP_037781943.1	XP_037781943.1	1	47	3.24e-18	74.468	47
M_mag.00g003770.m01	3	821	1132	XP_042893239.1	XP_042893239.1	94	922	3.83e-137	30.252	833
M_mag.00g003780.m01	11	131	208	XP_037772961.1	XP_037772961.1	323	443	1.88e-15	31.405	121
M_mag.00g003840.m01	38	86	259	XP_037788706.1	XP_037788706.1	1	49	5.94e-26	95.918	49
M_mag.00g003900.m01	604	669	203	XP_042223363.1	XP_042223363.1	1	66	4.46e-18	71.212	66
M_mag.00g003910.m01	2	50	204	XP_042223361.1	XP_042223361.1	5	53	2.12e-18	71.429	49
M_mag.00g003920.m01	222	283	257	XP_042223367.1	XP_042223367.1	5	66	4.91e-24	72.581	62
M_mag.00g003950.m01	229	279	264	XP_042223371.1	XP_042223371.1	1	51	6.83e-28	98.039	51
M_mag.00g003980.m01	784	1008	493	XP_042893288.1	XP_042893288.1	7	213	2.88e-54	62.996	227
M_mag.00g003990.m01	1	524	2559	XP_042223319.1	XP_042223319.1	1	524	0.0	91.221	524
M_mag.00g004010.m01	62	926	2067	XP_042223449.1	XP_042223449.1	35	900	0.0	48.627	874
M_mag.00g004090.m01	237	292	207	XP_042230264.1	XP_042230264.1	1	56	3.12e-19	73.214	56
M_mag.00g004110.m01	87	119	143	XP_042230267.1	XP_042230267.1	62	94	1.80e-09	81.818	33
M_mag.00g004190.m01	3	531	1309	XP_037804877.1	XP_037804877.1	90	669	8.23e-172	45.890	584
M_mag.00g004200.m01	499	810	1167	XP_042238495.1	XP_042238495.1	1	312	1.06e-152	69.551	312
M_mag.00g004210.m01	32	108	203	XP_027230045.1	XP_027230045.1	1	82	1.19e-17	50.000	82
M_mag.00g004260.m01	261	309	185	XP_042890106.1	XP_042890106.1	1	49	3.59e-16	67.347	49
M_mag.00g004270.m01	180	240	235	XP_037789332.1	XP_037789332.1	1	61	1.54e-23	63.934	61
M_mag.00g004310.m01	1966	2092	318	XP_042242425.1	XP_042242425.1	1	127	1.58e-32	45.669	127
M_mag.00g004330.m01	63	163	227	XP_042242425.1	XP_042242425.1	4	118	2.12e-20	44.915	118
M_mag.00g004570.m01	533	779	221	XP_006812275.1	XP_006812275.1	97	343	3.10e-16	20.648	247
M_mag.00g004910.m01	21	196	148	XP_009052690.1	XP_009052690.1	31	230	5.90e-09	31.250	208
M_mag.00g005010.m01	512	765	208	XP_006812275.1	XP_006812275.1	78	331	1.30e-14	18.110	254
M_mag.00g005030.m01	364	649	925	XP_042229996.1	XP_042229996.1	22	299	5.37e-114	61.538	286
M_mag.00g005040.m01	445	680	842	XP_037794286.1	XP_037794286.1	1	233	2.47e-102	68.644	236
M_mag.00g005060.m01	1355	1408	278	XP_037789097.1	XP_037789097.1	1	54	1.67e-28	94.444	54
M_mag.00g005100.m01	184	244	291	XP_042237503.1	XP_042237503.1	1	61	4.10e-30	88.525	61
M_mag.00g005240.m01	30	75	187	XP_042872271.1	XP_042872271.1	15	58	3.85e-16	80.435	46
M_mag.00g005270.m01	21	110	307	XP_042889608.1	XP_042889608.1	1	90	4.93e-35	63.333	90
M_mag.00g005280.m01	25	88	158	XP_037789066.1	XP_037789066.1	25	84	1.30e-12	53.125	64
M_mag.00g005290.m01	87	149	277	XP_037789066.1	XP_037789066.1	12	77	8.71e-31	83.333	66
M_mag.00g005310.m01	530	558	140	XP_027228141.1	XP_027228141.1	23	51	6.90e-10	89.655	29
M_mag.00g005320.m01	694	740	205	XP_042239983.1	XP_042239983.1	1	47	6.74e-18	82.979	47
M_mag.00g005330.m01	627	1186	2078	XP_042231898.1	XP_042231898.1	1	563	0.0	76.773	564
M_mag.00g005340.m01	1165	1777	2971	XP_042231905.1	XP_042231905.1	1	613	0.0	93.801	613
M_mag.00g005400.m01	147	184	182	XP_037789264.1	XP_037789264.1	44	81	5.42e-15	84.211	38
M_mag.00g005410.m01	195	813	1331	XP_042217016.1	XP_042217016.1	169	788	1.13e-169	62.107	636
M_mag.00g005570.m01	1235	1473	423	XP_042242434.1	XP_042242434.1	5	237	6.93e-45	59.836	244
M_mag.00g005580.m01	264	604	305	XP_042242434.1	XP_042242434.1	1	313	3.38e-26	38.244	353
M_mag.00g005590.m01	2	202	692	XP_042242434.1	XP_042242434.1	1	195	8.15e-82	70.149	201
M_mag.00g005600.m01	34	200	199	XP_042217344.1	XP_042217344.1	97	264	1.94e-15	31.977	172
M_mag.00g005650.m01	2	66	207	XP_036366803.1	XP_036366803.1	3	67	1.48e-18	52.308	65
M_mag.00g005670.m01	145	199	214	XP_042857349.1	XP_042857349.1	1	55	9.30e-20	76.364	55
M_mag.00g005680.m01	48	125	247	XP_037799660.1	XP_037799660.1	37	111	2.62e-23	64.557	79
M_mag.00g005690.m01	91	305	359	XP_027207188.1	XP_027207188.1	37	251	1.14e-34	33.784	222
M_mag.00g005790.m01	1	605	1703	XP_042232269.1	XP_042232269.1	1	604	0.0	78.723	611
M_mag.00g005840.m01	1794	1832	187	XP_042232268.1	XP_042232268.1	2	40	2.27e-16	89.744	39
M_mag.00g005860.m01	1376	1426	187	XP_042232268.1	XP_042232268.1	1	51	8.35e-16	70.588	51
M_mag.00g005870.m01	960	992	156	XP_042880782.1	XP_042880782.1	1	33	2.17e-12	96.970	33
M_mag.00g006340.m01	65	121	141	XP_042232265.1	XP_042232265.1	1	57	7.58e-10	70.175	57
M_mag.00g006380.m01	1410	1492	404	XP_042232231.1	XP_042232231.1	2	84	6.60e-45	85.542	83
M_mag.00g006390.m01	332	1218	1615	XP_042232234.1	XP_042232234.1	1	868	0.0	62.950	888
M_mag.00g006450.m01	3	162	273	XP_042857329.1	XP_042857329.1	69	229	1.23e-27	42.857	161
M_mag.00g006460.m01	173	214	192	XP_042211190.1	XP_042211190.1	1	42	1.28e-17	85.714	42
M_mag.00g006490.m01	271	331	281	XP_042881866.1	XP_042881866.1	1	61	1.11e-28	81.967	61
M_mag.00g006500.m01	67	311	573	XP_042232016.1	XP_042232016.1	53	274	2.44e-65	52.653	245
M_mag.00g006560.m01	172	743	2372	XP_042236386.1	XP_042236386.1	5	575	0.0	77.622	572
M_mag.00g006570.m01	755	844	254	XP_042236386.1	XP_042236386.1	1	90	1.32e-24	56.667	90
M_mag.00g006600.m01	1	84	375	XP_042232134.1	XP_042232134.1	1	84	5.85e-41	77.381	84
M_mag.00g006620.m01	999	1208	438	XP_042892444.1	XP_042892444.1	536	771	4.92e-42	57.025	242
M_mag.00g006690.m01	132	183	231	XP_042232073.1	XP_042232073.1	1	52	3.22e-22	84.615	52
M_mag.00g006700.m01	172	293	341	XP_042881826.1	XP_042881826.1	2	148	3.32e-36	71.053	152
M_mag.00g006720.m01	353	459	258	XP_042891046.1	XP_042891046.1	1	106	6.97e-25	45.794	107
M_mag.00g006940.m01	4	368	808	XP_042231807.1	XP_042231807.1	1	373	2.21e-103	71.011	376
M_mag.00g007000.m01	550	605	261	XP_042232178.1	XP_042232178.1	1	56	3.90e-26	83.929	56
M_mag.00g007010.m01	287	341	205	XP_037799607.1	XP_037799607.1	1	55	1.45e-18	90.909	55
M_mag.00g007040.m01	37	198	280	XP_018013452.1	XP_018013452.1	18	161	9.59e-28	51.235	162
M_mag.00g007100.m01	628	759	488	XP_042891046.1	XP_042891046.1	2	133	5.67e-56	68.182	132
M_mag.00g007110.m01	47	388	921	XP_042223299.1	XP_042223299.1	1	337	8.05e-121	77.457	346
M_mag.00g007210.m01	80	417	999	XP_027219955.1	XP_027219955.1	100	439	9.26e-126	52.047	342
M_mag.00g007220.m01	623	1014	1538	XP_042236973.1	XP_042236973.1	1	392	0.0	72.194	392
M_mag.00g007230.m01	254	531	683	XP_031557602.1	XP_031557602.1	57	335	2.31e-79	50.357	280
M_mag.00g007260.m01	119	247	156	XP_015836766.1	XP_015836766.1	21	148	1.84e-10	32.090	134
M_mag.00g007270.m01	223	1097	1658	XP_043217780.1	XP_043217780.1	5	877	0.0	45.655	909
M_mag.00g007390.m01	1684	1899	162	XP_009059700.1	XP_009059700.1	39	244	1.53e-09	27.119	236
M_mag.00g007410.m01	1496	1873	343	XP_029718299.1	XP_029718299.1	23	428	1.56e-31	31.884	414
M_mag.00g007420.m01	115	305	193	XP_027207188.1	XP_027207188.1	60	214	2.62e-13	27.179	195
M_mag.00g007440.m01	80	252	534	XP_027219955.1	XP_027219955.1	109	281	1.21e-61	53.757	173
M_mag.00g007450.m01	123	1122	2466	XP_037801289.1	XP_037801289.1	96	1099	0.0	49.005	1055
M_mag.00g007470.m01	209	366	523	XP_042240878.1	XP_042240878.1	13	169	1.02e-62	70.988	162
M_mag.00g007510.m01	1	84	172	XP_042857770.1	XP_042857770.1	1	84	6.76e-13	52.381	84
M_mag.00g007520.m01	50	208	157	XP_027207908.1	XP_027207908.1	6	139	2.21e-10	33.540	161
M_mag.00g007530.m01	333	473	153	XP_043234148.1	XP_043234148.1	13	142	6.33e-10	32.639	144
M_mag.00g007540.m01	3	100	275	XP_027232959.1	XP_027232959.1	17	115	2.36e-27	56.566	99
M_mag.00g007550.m01	127	293	438	XP_027232959.1	XP_027232959.1	2	134	2.52e-50	56.886	167
M_mag.00g007560.m01	1974	2020	214	XP_042875030.1	XP_042875030.1	1	47	7.17e-20	82.979	47
M_mag.00g007570.m01	1759	1850	432	XP_042875030.1	XP_042875030.1	1	92	4.54e-48	85.870	92
M_mag.00g007620.m01	161	203	208	XP_027216135.1	XP_027216135.1	23	65	1.99e-19	88.372	43
M_mag.00g007650.m01	295	344	255	XP_027210074.1	XP_027210074.1	1	50	5.82e-26	92.000	50
M_mag.00g007660.m01	68	122	284	XP_037789242.1	XP_037789242.1	1	55	7.05e-30	100.000	55
M_mag.00g007770.m01	183	325	582	XP_042223480.1	XP_042223480.1	1	143	1.13e-71	74.126	143
M_mag.00g007790.m01	1	70	269	XP_042223375.1	XP_042223375.1	1	73	3.11e-24	68.493	73
M_mag.00g007800.m01	210	280	339	XP_042223331.1	XP_042223331.1	1	71	2.43e-36	85.915	71
M_mag.00g007810.m01	465	605	400	XP_042893282.1	XP_042893282.1	1	144	2.32e-43	63.699	146
M_mag.00g007820.m01	1146	1229	372	XP_042223332.1	XP_042223332.1	1	84	1.30e-40	80.952	84
M_mag.00g007830.m01	120	241	363	XP_042858570.1	XP_042858570.1	1	122	2.19e-39	54.098	122
M_mag.00g007840.m01	153	564	799	XP_037790925.1	XP_037790925.1	118	529	3.74e-97	41.805	421
M_mag.00g007860.m01	103	566	1174	XP_037782229.1	XP_037782229.1	2	465	2.20e-149	48.387	465
M_mag.00g007890.m01	439	541	414	XP_042223384.1	XP_042223384.1	1	103	5.79e-47	70.874	103
M_mag.00g007910.m01	439	541	415	XP_042223384.1	XP_042223384.1	1	103	3.33e-47	70.874	103
M_mag.00g007920.m01	73	176	177	XP_037774697.1	XP_037774697.1	13	116	2.08e-14	40.385	104
M_mag.00g007930.m01	111	302	601	XP_042857543.1	XP_042857543.1	1	189	7.05e-76	61.340	194
M_mag.00g007940.m01	174	279	398	XP_042868822.1	XP_042868822.1	2	101	4.03e-44	74.528	106
M_mag.00g007950.m01	452	520	295	XP_042223383.1	XP_042223383.1	1	69	1.26e-30	73.913	69
M_mag.00g007960.m01	209	506	763	XP_027236530.1	XP_027236530.1	1	295	1.22e-94	54.305	302
M_mag.00g008000.m01	313	537	634	XP_042237225.1	XP_042237225.1	62	287	2.24e-76	55.752	226
M_mag.00g008010.m01	2	102	294	XP_042234106.1	XP_042234106.1	26	108	2.23e-33	63.366	101
