#
# Output is generated by GenSAS 7.x-5.0
#
#Name     : The name of mRNA
#Start    : Start of alignment in subject
#End      : End of alignment in subject
#Match_Start  : Start of alignment in query
#Match_End    : End of alignment in query
#Score        : Row score of the match
#E-value      : E value of the match
#Identity     : Percentage of identical matches
#AL           : Alignment length
Name	Start	End	Score	Accession	Match_ID	Match_Start	Match_End	E-value	Identity	AL
M_mag.00g003720.m01	52	112	244	Q24207	sp|Q24207|BOULE_DROME	3	63	2.79e-26	73.770	61
M_mag.00g003750.m01	147	271	149	Q86SQ3	sp|Q86SQ3|AGRE4_HUMAN	47	168	1.68e-10	36.220	127
M_mag.00g003770.m01	364	836	443	Q95SX7	sp|Q95SX7|RTBS_DROME	130	596	1.21e-43	29.400	483
M_mag.00g003950.m01	228	277	238	Q00PJ7	sp|Q00PJ7|CAZA2_ATEAB	1	50	3.23e-25	88.000	50
M_mag.00g003990.m01	3	515	1625	Q9I7F7	sp|Q9I7F7|ACKL_DROME	5	509	0.0	61.524	525
M_mag.00g004200.m01	229	541	541	P20825	sp|P20825|POL2_DROME	1	311	4.24e-61	38.679	318
M_mag.00g004260.m01	276	323	130	Q8R1Q9	sp|Q8R1Q9|RBSK_MOUSE	1	48	9.46e-10	54.167	48
M_mag.00g004270.m01	396	449	147	Q8CFI5	sp|Q8CFI5|SYPM_MOUSE	6	59	8.66e-12	50.000	54
M_mag.00g005030.m01	610	759	268	Q7LHG5	sp|Q7LHG5|YI31B_YEAST	140	288	1.63e-23	40.667	150
M_mag.00g005040.m01	778	972	249	P23074	sp|P23074|POL_SFV1	32	228	6.92e-23	30.348	201
M_mag.00g005060.m01	1298	1350	224	Q16HH9	sp|Q16HH9|MED23_AEDAE	1	53	2.09e-22	75.472	53
M_mag.00g005270.m01	38	124	166	Q9HBL7	sp|Q9HBL7|PLRKT_HUMAN	1	87	6.16e-15	42.529	87
M_mag.00g005290.m01	115	176	136	Q9BQ61	sp|Q9BQ61|TRIR_HUMAN	13	77	1.21e-10	51.471	68
M_mag.00g005320.m01	678	716	141	Q9Y6D9	sp|Q9Y6D9|MD1L1_HUMAN	1	39	1.65e-10	61.538	39
M_mag.00g005330.m01	619	1142	912	Q9QYF3	sp|Q9QYF3|MYO5A_RAT	2	510	5.55e-107	44.045	529
M_mag.00g005340.m01	1211	1855	1307	Q9Y4I1	sp|Q9Y4I1|MYO5A_HUMAN	1	613	5.48e-161	44.597	657
M_mag.00g005590.m01	6	136	444	P25916	sp|P25916|BMI1_MOUSE	6	131	3.00e-53	61.832	131
M_mag.00g005670.m01	112	166	144	Q9MZD1	sp|Q9MZD1|S17A5_SHEEP	1	55	1.51e-11	52.727	55
M_mag.00g005790.m01	181	345	311	Q7T3H2	sp|Q7T3H2|INS1B_DANRE	290	501	3.36e-29	36.620	213
M_mag.00g005840.m01	1727	1766	155	P16621	sp|P16621|LAR_DROME	1	40	2.46e-13	67.500	40
M_mag.00g005870.m01	1174	1206	123	P16621	sp|P16621|LAR_DROME	1	33	4.20e-09	72.727	33
M_mag.00g006380.m01	1054	1136	216	Q8IPJ3	sp|Q8IPJ3|LUBEL_DROME	3	84	9.27e-21	45.783	83
M_mag.00g006490.m01	167	224	193	P51905	sp|P51905|SC6A4_DROME	1	61	4.22e-18	60.656	61
M_mag.00g007000.m01	537	578	156	A0A0B4K692	sp|A0A0B4K692|NEP2_DROME	15	56	3.34e-13	69.048	42
M_mag.00g007110.m01	49	135	245	P32114	sp|P32114|PAX2_MOUSE	37	119	7.09e-22	53.933	89
M_mag.00g007220.m01	229	622	707	P20825	sp|P20825|POL2_DROME	1	392	5.46e-83	38.847	399
M_mag.00g007260.m01	87	173	148	Q9Z0Y9	sp|Q9Z0Y9|NR1H3_MOUSE	12	100	1.18e-10	38.889	90
M_mag.00g007270.m01	525	1041	209	P15594	sp|P15594|RTP2_TRYBG	165	767	1.79e-15	22.293	628
M_mag.00g007410.m01	5822	6289	193	Q09165	sp|Q09165|DIG1_CAEEL	16	433	5.29e-14	26.496	468
M_mag.00g007450.m01	793	1029	303	P27401	sp|P27401|POL_SFV3L	610	853	2.83e-26	30.328	244
M_mag.00g007470.m01	1014	1172	262	Q9VJB6	sp|Q9VJB6|CADN2_DROME	2	178	1.70e-25	32.768	177
M_mag.00g007560.m01	2089	2135	145	Q03460	sp|Q03460|GLSN_MEDSA	1	47	8.61e-12	61.702	47
M_mag.00g007570.m01	1801	1876	205	Q9C102	sp|Q9C102|GLT1_SCHPO	1	74	1.02e-18	57.895	76
M_mag.00g007620.m01	109	148	141	Q5ZML6	sp|Q5ZML6|F210A_CHICK	25	64	4.64e-11	60.000	40
M_mag.00g007650.m01	280	329	161	A6NFA1	sp|A6NFA1|TIKI2_HUMAN	1	50	5.12e-14	60.000	50
M_mag.00g007660.m01	173	227	258	E7F4V6	sp|E7F4V6|TIKI2_DANRE	1	55	3.78e-27	89.091	55
M_mag.00g007770.m01	174	311	180	Q9JHE4	sp|Q9JHE4|G3ST1_MOUSE	2	141	4.81e-15	34.483	145
M_mag.00g007800.m01	214	284	225	Q7SYD5	sp|Q7SYD5|SC31A_DANRE	1	71	3.01e-22	54.930	71
M_mag.00g007820.m01	1147	1227	189	Q5F3X8	sp|Q5F3X8|SC31A_CHICK	2	82	4.63e-17	44.444	81
M_mag.00g007840.m01	437	837	444	P21328	sp|P21328|RTJK_DROME	24	413	1.06e-45	30.637	408
M_mag.00g007860.m01	318	836	451	Q9NBX4	sp|Q9NBX4|RTXE_DROME	195	710	5.71e-45	28.037	535
M_mag.00g007890.m01	368	462	145	Q7LGC8	sp|Q7LGC8|CHST3_HUMAN	1	93	7.77e-11	29.474	95
M_mag.00g007910.m01	368	462	144	Q7LGC8	sp|Q7LGC8|CHST3_HUMAN	1	93	1.01e-10	29.474	95
M_mag.00g007930.m01	781	950	256	A4IFA3	sp|A4IFA3|GT2D2_BOVIN	1	174	1.67e-24	34.483	174
M_mag.00g007940.m01	558	662	135	A4IFA3	sp|A4IFA3|GT2D2_BOVIN	1	99	2.37e-09	33.333	105
M_mag.00g008000.m01	35	199	143	P0C1H9	sp|P0C1H9|PPIB1_RHIO9	127	287	2.07e-09	29.891	184
M_mag.00g008010.m01	3	101	206	Q5DC69	sp|Q5DC69|CH10_SCHJA	26	106	3.00e-21	46.465	99
M_mag.00g008020.m01	1910	2481	752	O15943	sp|O15943|CADN_DROME	8	611	7.59e-84	31.870	615
M_mag.00g008040.m01	1500	1583	168	O15943	sp|O15943|CADN_DROME	16	99	5.80e-14	40.476	84
M_mag.00g008080.m01	100	147	233	Q2KIW6	sp|Q2KIW6|PRS10_BOVIN	1	48	4.90e-24	89.583	48
M_mag.00g008100.m01	259	622	656	P20825	sp|P20825|POL2_DROME	7	373	4.02e-76	38.211	369
M_mag.00g008130.m01	121	314	155	O60216	sp|O60216|RAD21_HUMAN	1	241	2.25e-10	31.301	246
M_mag.00g008140.m01	116	190	362	P07764	sp|P07764|ALF_DROME	1	75	1.47e-42	86.667	75
M_mag.00g008150.m01	210	332	476	P05065	sp|P05065|ALDOA_RAT	1	124	9.34e-59	72.581	124
M_mag.00g008230.m01	116	361	887	P07764	sp|P07764|ALF_DROME	1	248	9.23e-119	72.000	250
M_mag.00g008240.m01	174	217	157	Q08420	sp|Q08420|SODE_RAT	1	44	9.72e-14	61.364	44
M_mag.00g008270.m01	28	129	178	Q9US35	sp|Q9US35|DSD1_SCHPO	9	105	2.34e-15	36.275	102
M_mag.00g008350.m01	543	839	254	P21328	sp|P21328|RTJK_DROME	6	294	6.35e-22	26.821	302
M_mag.00g008520.m01	1838	2023	252	O15943	sp|O15943|CADN_DROME	24	208	1.00e-23	38.298	188
M_mag.00g008540.m01	1621	1724	322	O15943	sp|O15943|CADN_DROME	73	176	1.84e-33	61.538	104
M_mag.00g008670.m01	802	1023	319	O93209	sp|O93209|POL_FFV	838	1066	3.09e-28	29.870	231
M_mag.00g008680.m01	344	451	203	Q8N448	sp|Q8N448|LNX2_HUMAN	7	110	3.33e-16	41.667	108
M_mag.00g008800.m01	446	658	309	Q95SX7	sp|Q95SX7|RTBS_DROME	35	247	1.08e-30	36.449	214
M_mag.00g008860.m01	504	728	408	Q8TBB1	sp|Q8TBB1|LNX1_HUMAN	396	605	7.36e-41	37.778	225
M_mag.00g008930.m01	235	304	210	Q54CP1	sp|Q54CP1|RRP8_DICDI	1	69	2.27e-20	54.286	70
M_mag.00g009070.m01	267	454	448	Q8VCZ9	sp|Q8VCZ9|HYPDH_MOUSE	29	229	7.84e-52	46.269	201
M_mag.00g009160.m01	265	323	192	A8Y1P7	sp|A8Y1P7|BRE4_CAEBR	1	59	4.04e-18	49.153	59
M_mag.00g009190.m01	72	157	322	Q8BZB2	sp|Q8BZB2|COAC_MOUSE	24	109	1.21e-37	63.953	86
M_mag.00g009280.m01	1026	1073	163	Q07436	sp|Q07436|EXPA_DROME	201	248	1.37e-10	56.250	48
M_mag.00g009290.m01	44	242	542	P28024	sp|P28024|PSB4_XENLA	1	200	6.56e-69	47.761	201
M_mag.00g009330.m01	430	707	794	Q9BSJ2	sp|Q9BSJ2|GCP2_HUMAN	25	301	9.26e-98	56.115	278
M_mag.00g009350.m01	394	495	511	Q01842	sp|Q01842|POK_DROME	234	335	9.30e-57	88.235	102
M_mag.00g009460.m01	106	158	174	Q9D0B6	sp|Q9D0B6|PBDC1_MOUSE	1	53	3.96e-16	62.264	53
M_mag.00g009470.m01	66	120	222	Q9D287	sp|Q9D287|SPF27_MOUSE	1	55	2.62e-23	70.909	55
M_mag.00g009520.m01	16	81	164	Q7ZWC4	sp|Q7ZWC4|PELO_DANRE	1	66	4.79e-14	65.152	66
M_mag.00g009690.m01	219	277	155	Q6PCS4	sp|Q6PCS4|RHG29_DANRE	37	95	3.16e-12	49.153	59
M_mag.00g009700.m01	343	519	146	Q6PGG2	sp|Q6PGG2|GMIP_MOUSE	2	158	2.78e-10	32.778	180
M_mag.00g009710.m01	784	830	175	Q6PCS4	sp|Q6PCS4|RHG29_DANRE	1	47	7.28e-16	68.085	47
M_mag.00g009790.m01	25	235	447	Q9VNH6	sp|Q9VNH6|EXOC4_DROME	1	213	1.21e-49	40.654	214
M_mag.00g009810.m01	26	83	136	Q58EB4	sp|Q58EB4|HIBCH_DANRE	1	56	2.14e-10	50.000	58
M_mag.00g009910.m01	2314	2911	847	O15943	sp|O15943|CADN_DROME	336	929	7.86e-93	34.584	613
M_mag.00g009920.m01	260	317	196	O60909	sp|O60909|B4GT2_HUMAN	1	58	1.31e-18	51.724	58
M_mag.00g010000.m01	66	615	837	Q58EN8	sp|Q58EN8|VP33B_DANRE	1	546	2.11e-103	36.234	563
M_mag.00g010010.m01	556	688	267	Q86UE3	sp|Q86UE3|ZN546_HUMAN	227	360	2.33e-23	38.806	134
M_mag.00g010020.m01	54	121	179	O94131	sp|O94131|CREA_GIBFU	65	130	5.63e-14	50.000	68
M_mag.00g010030.m01	100	163	305	Q4R5B9	sp|Q4R5B9|SKP1_MACFA	1	64	2.48e-36	92.188	64
M_mag.00g010210.m01	247	462	153	Q01621	sp|Q01621|LCK_RAT	10	227	2.06e-10	26.087	230
M_mag.00g010250.m01	3528	3589	144	Q86XX4	sp|Q86XX4|FRAS1_HUMAN	3	63	1.82e-11	50.000	62
M_mag.00g010260.m01	383	469	323	A0FKG7	sp|A0FKG7|CAN7_PIG	1	85	3.13e-35	64.368	87
M_mag.00g010340.m01	1165	1238	323	Q4LBB6	sp|Q4LBB6|OCTB3_DROME	8	81	4.65e-34	74.324	74
M_mag.00g010380.m01	263	307	131	Q9VCZ3	sp|Q9VCZ3|OCTB1_DROME	1	45	6.22e-10	71.111	45
M_mag.00g010400.m01	46	249	263	Q9PW70	sp|Q9PW70|CISH_CHICK	164	345	1.97e-25	35.922	206
M_mag.00g010450.m01	87	147	132	P80681	sp|P80681|CUA1A_TENMO	6	66	3.96e-10	44.262	61
M_mag.00g010470.m01	37	291	398	Q27083	sp|Q27083|CFGB_TACTR	89	339	1.63e-44	34.457	267
M_mag.00g010530.m01	368	540	407	Q62132	sp|Q62132|PTPRR_MOUSE	77	245	1.65e-44	48.851	174
M_mag.00g010550.m01	229	461	526	Q80YP6	sp|Q80YP6|ZIK1_MOUSE	3	228	1.94e-63	44.635	233
M_mag.00g010560.m01	373	804	942	O75400	sp|O75400|PR40A_HUMAN	314	743	3.31e-111	55.556	432
M_mag.00g010600.m01	698	781	196	Q3UVY5	sp|Q3UVY5|PCX4_MOUSE	4	89	7.87e-15	50.000	86
M_mag.00g010620.m01	135	335	167	A2RUW7	sp|A2RUW7|PCX4_DANRE	5	201	6.89e-12	33.171	205
M_mag.00g010690.m01	507	1041	184	P15594	sp|P15594|RTP2_TRYBG	282	872	2.04e-12	22.276	624
M_mag.00g010700.m01	411	593	163	Q95SX7	sp|Q95SX7|RTBS_DROME	27	209	7.02e-12	30.811	185
M_mag.00g010710.m01	235	600	344	P04323	sp|P04323|POL3_DROME	1	310	1.07e-34	29.223	373
M_mag.00g010860.m01	234	565	497	P20825	sp|P20825|POL2_DROME	1	299	2.91e-55	36.499	337
M_mag.00g010870.m01	411	593	164	Q95SX7	sp|Q95SX7|RTBS_DROME	56	238	8.90e-12	30.811	185
M_mag.00g010950.m01	516	631	147	Q9NBX4	sp|Q9NBX4|RTXE_DROME	78	194	7.23e-10	31.624	117
M_mag.00g011260.m01	435	856	252	Q95SX7	sp|Q95SX7|RTBS_DROME	349	747	1.18e-20	26.179	424
M_mag.00g011360.m01	712	1135	369	Q9UR07	sp|Q9UR07|TF211_SCHPO	15	413	9.79e-36	26.512	430
M_mag.00g011370.m01	643	883	526	Q7LHG5	sp|Q7LHG5|YI31B_YEAST	264	506	2.13e-56	41.975	243
M_mag.00g011390.m01	91	282	409	Q9GKT2	sp|Q9GKT2|FXDC2_MACFA	2	193	6.11e-48	41.667	192
M_mag.00g011430.m01	442	561	181	P21328	sp|P21328|RTJK_DROME	107	223	3.59e-14	34.167	120
M_mag.00g011460.m01	192	1114	792	P0CT39	sp|P0CT39|TF26_SCHPO	228	1076	7.84e-86	27.224	933
M_mag.00g011480.m01	408	622	412	P20825	sp|P20825|POL2_DROME	2	221	5.08e-45	41.364	220
M_mag.00g011510.m01	216	458	518	Q96MW7	sp|Q96MW7|TIGD1_HUMAN	2	249	6.10e-59	42.913	254
M_mag.00g011560.m01	457	756	303	P21328	sp|P21328|RTJK_DROME	119	410	2.05e-28	29.276	304
M_mag.00g011580.m01	636	739	201	P0CT34	sp|P0CT34|TF21_SCHPO	4	108	2.35e-18	43.396	106
M_mag.00g011590.m01	893	1078	194	P10394	sp|P10394|POL4_DROME	596	768	8.27e-14	27.660	188
M_mag.00g011610.m01	678	840	157	Q95SX7	sp|Q95SX7|RTBS_DROME	3	166	1.43e-10	28.235	170
M_mag.00g011660.m01	263	622	603	P20825	sp|P20825|POL2_DROME	1	363	7.09e-69	36.438	365
M_mag.00g011680.m01	420	1107	783	P0CT35	sp|P0CT35|TF22_SCHPO	54	719	2.46e-87	28.797	698
M_mag.00g011690.m01	528	840	308	Q95SX7	sp|Q95SX7|RTBS_DROME	315	591	9.74e-28	29.781	319
M_mag.00g011700.m01	192	622	669	P20825	sp|P20825|POL2_DROME	1007	1413	1.09e-70	35.780	436
M_mag.00g011720.m01	642	731	197	Q7LHG5	sp|Q7LHG5|YI31B_YEAST	628	717	4.55e-14	45.556	90
M_mag.00g011740.m01	749	1135	317	Q9UR07	sp|Q9UR07|TF211_SCHPO	125	487	7.45e-29	25.510	392
M_mag.00g011790.m01	477	594	155	Q9NBX4	sp|Q9NBX4|RTXE_DROME	1	116	5.36e-12	33.898	118
M_mag.00g011800.m01	617	840	208	P21328	sp|P21328|RTJK_DROME	19	236	1.83e-16	28.511	235
M_mag.00g011870.m01	583	667	170	Q9NBX4	sp|Q9NBX4|RTXE_DROME	180	267	3.28e-12	45.455	88
M_mag.00g011880.m01	550	701	192	P21329	sp|P21329|RTJK_DROFU	191	333	1.06e-14	33.987	153
M_mag.00g011960.m01	229	622	607	P20825	sp|P20825|POL2_DROME	1	361	1.98e-69	36.341	399
M_mag.00g012100.m01	264	1114	649	P0CT37	sp|P0CT37|TF24_SCHPO	116	942	8.96e-69	25.930	887
M_mag.00g012230.m01	223	622	704	P20825	sp|P20825|POL2_DROME	64	461	1.29e-81	37.778	405
M_mag.00g012330.m01	217	623	630	P04323	sp|P04323|POL3_DROME	14	415	4.69e-71	37.410	417
M_mag.00g012340.m01	1451	1661	168	P10273	sp|P10273|POL_FLV	9	214	4.75e-12	29.018	224
M_mag.00g013150.m01	223	622	719	P20825	sp|P20825|POL2_DROME	496	893	2.83e-79	38.519	405
M_mag.00g013200.m01	5	68	172	Q6VAY5	sp|Q6VAY5|DNAJ_PSEST	2	66	4.33e-14	55.385	65
M_mag.00g013230.m01	5	68	168	Q6VAY5	sp|Q6VAY5|DNAJ_PSEST	2	66	4.70e-12	55.385	65
M_mag.00g013270.m01	5	68	168	Q6VAY5	sp|Q6VAY5|DNAJ_PSEST	6	70	4.42e-12	55.385	65
M_mag.00g013480.m01	55	141	159	P54281	sp|P54281|CLCA1_BOVIN	1	89	7.75e-13	37.079	89
M_mag.00g013610.m01	229	622	695	P20825	sp|P20825|POL2_DROME	1	392	2.54e-81	38.596	399
M_mag.00g013760.m01	325	370	138	P91778	sp|P91778|AMY_PECMA	78	122	1.39e-09	58.696	46
M_mag.00g014090.m01	1	102	274	Q71R50	sp|Q71R50|DHR11_CHICK	1	100	5.31e-30	52.941	102
M_mag.00g014370.m01	453	642	162	Q03278	sp|Q03278|PO21_NASVI	4	192	1.07e-11	30.392	204
M_mag.00g014430.m01	283	315	144	Q11011	sp|Q11011|PSA_MOUSE	1	33	6.15e-12	75.758	33
M_mag.00g014440.m01	637	698	160	P55786	sp|P55786|PSA_HUMAN	1	62	1.31e-13	48.387	62
M_mag.00g014480.m01	229	622	699	P20825	sp|P20825|POL2_DROME	1	392	6.85e-82	38.596	399
